Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$6.50,-0.18,-2.695%,25233936.00,United States,,15589,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$47.72,-0.51,-1.057%,181830331.00,United States,1988,31351,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$9.60,0.10,1.053%,1030680000.00,United States,,239995,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.7193,-0.0203,-2.745%,18922777.00,United States,,20648,Health Care,Biotechnology: Pharmaceutical Preparations
AGIG,Abundia Global Impact Group Inc. Common stock,$0.9828,0.0169,1.75%,43265628.00,United States,,81353,Energy,Oil & Gas Production
AIB,AIB Data Centers Inc. Common Stock,$2.12,0.02,0.952%,79809802.00,,2026,1943529,Finance,Investment Bankers/Brokers/Service
AIM,AIM ImmunoTech Inc. Common Stock,$0.284,-0.0122,-4.119%,7873686.00,,,1108575,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$3.02,0.00,0.00%,14648987.00,United States,,11652,Industrials,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.27,-0.02,-0.873%,6492931.00,China,,16036,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$1.58,-0.05,-3.067%,10467500.00,United States,1988,99741,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$0.1274,-0.0026,-2.00%,5743251.00,,2021,4400572,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$5.62,0.07,1.261%,57419158.00,Canada,2000,35366,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$0.90,-0.025,-2.703%,13582059.00,,2025,384781,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,$0.83,-0.055,-6.215%,39510316.00,United States,2022,133874,Technology,EDP Services
ARMP,Armata Pharmaceuticals Inc. Common Stock,$6.48,0.02,0.31%,237886049.00,United States,,73662,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$6.34,0.07,1.116%,1079073135.00,Canada,,2838815,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.1968,-0.008,-3.906%,29586474.00,,2024,1127200,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$0.98,-0.01,-1.01%,30747491.00,United States,,143989,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.11,0.03,2.778%,15199231.00,,2022,42110,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.49,0.03,1.22%,9709583.00,United States,1998,3863,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$6.70,0.28,4.361%,45678704.00,,2024,17944,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.1678,-0.0092,-5.198%,2717091.00,,2023,1756401,Health Care,Biotechnology: Pharmaceutical Preparations
AZUL,Azul S.A. American Depositary Shares each representing two (2) Common Shares,$8.99,-0.17,-1.856%,3291136388.00,,,33005,Consumer Discretionary,Air Freight/Delivery Services
BATL,Battalion Oil Corporation Common Stock,$1.31,-0.11,-7.746%,28844692.00,United States,,4110923,Energy,Oil & Gas Production
BCHT,Birchtech Corp. Common Stock,$2.05,0.00,0.00%,53927230.00,,2026,246730,Industrials,Industrial Machinery/Components
BCV,Bancroft Fund Ltd.,$25.99,0.34,1.326%,0.00,United States,1972,6174,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$20.82,-0.0584,-0.28%,,United States,,716,,
BDL,Flanigan's Enterprises Inc. Common Stock,$44.84,-2.13,-4.535%,83341731.00,United States,1972,11732,Consumer Discretionary,Restaurants
BESS,Bimergen Energy Corporation Common Stock,$4.07,0.20,5.168%,28887122.00,,2026,176999,Utilities,Electric Utilities: Central
BGI,Birks Group Inc. Common Stock,$0.564,0.0039,0.696%,11051403.00,Canada,,24901,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$37.76,-0.59,-1.538%,632181847.00,United States,1997,109783,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$9.00,-0.24,-2.597%,120077685.00,,2022,3858,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$85.98,0.99,1.165%,321926144.00,United States,,22272,Technology,Radio And Television Broadcasting And Communications Equipment
BQ,Boqii Holding Limited Class A Ordinary Shares,$0.82,0.0394,5.047%,4001283.00,,2025,56477,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.53,-0.03,-0.843%,317388340.00,United States,,160278,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$1.4687,-0.0013,-0.088%,44978938.00,,2024,4982,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.01,-0.02,-1.942%,14539516.00,United States,1965,15427,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.74,-0.05,-1.319%,4988440319.00,Canada,,24155222,Basic Materials,Precious Metals
BUDA,Buda Juice Inc. Common Stock,$8.51,-0.52,-5.759%,106942328.00,,2026,12384,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.1281,-0.0109,-7.842%,22932542.00,United States,,18734033,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd American Depositary Shares each representing two (2) Ordinary Shares,$2.97,0.05,1.712%,6363365.00,Israel,,105866,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$3.41,-0.14,-3.944%,388897532.00,United States,,2180495,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$3.19,-0.13,-3.916%,25695929.00,United States,2022,14287,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$52.45,0.32,0.614%,12694221740.00,United States,1951,24290,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.52,0.02,0.19%,73993209.00,United States,1999,30438,Finance,Finance/Investors Services
CHOW,ChowChow Cloud International Holdings Limited Ordinary Shares,$0.3846,-0.0122,-3.075%,13649454.00,,2025,130318,Technology,Computer Software: Prepackaged Software
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.48,0.02,0.813%,0.00,United States,,597186,Finance,Finance/Investors Services
CITR,CitroTech Inc. Common Stock,$5.52,0.08,1.471%,123412914.00,,,26082,Industrials,Environmental Services
CIX,CompX International Inc. Common Stock,$24.90,-1.39,-5.287%,306844119.00,United States,1998,4588,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.81,-0.1901,-1.728%,22194324.00,United States,2003,2942,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.17,0.0089,5.525%,3282976.00,,2021,4953691,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$7.56,0.11,1.477%,0.00,United States,2003,2000046,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$19.10,-0.33,-1.698%,368878835.00,Canada,,113312,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$23.60,0.15,0.64%,210033604.00,United States,1996,18247,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$12.25,-0.28,-2.235%,1136058961.00,,2024,64078,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$15.95,0.90,5.98%,95816674.00,China,2016,25606,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$13.58,0.48,3.664%,34094695.00,United States,,8802,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.6601,0.0331,5.279%,26748574.00,China,,54101,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.18,0.04,0.56%,0.00,United States,2003,2043042,Finance,Finance/Investors Services
